age,number_dependent_family_members,monthly_income,number_of_credit_lines,real_estate_loans,ratio_debt_payment_to_income,credit_line_utilization,total_late_payments,target
55,0,9.003931019653137,2,1,0.266011063,0.0025999129999999,0,0
33,1,9.90353755128617,11,0,0.149492525,0.8756182990000001,2,0
48,0,9.392745258631441,4,1,0.2033997169999999,0.029985007,1,1
55,0,7.755338812846501,1,0,0.032990574,0.258674133,0,0
51,0,8.888894669371593,0,2,0.294672852,0.905167877,2,1
43,0,8.68946441235669,16,3,1.144781145,0.5703732970000001,0,0
51,1,8.366602832783736,18,1,0.39200186,0.311926935,2,0
60,0,8.560444233410552,16,2,0.748898678,0.451438181,0,0
40,2,7.3783837129967145,5,1,1.11492817,0.9999999,1,0
50,1,7.748460023899697,7,0,0.294672852,0.946519579,0,0
51,0,8.314097335405807,7,3,0.820877236,0.9999999,0,0
51,2,9.434842999328023,8,1,0.155628345,0.176499646,0,0
51,0,8.922791623969637,16,1,0.320757232,0.09989678,0,0
39,3,8.294299608857235,13,1,0.584353912,0.078052845,0,0
50,0,8.294299608857235,7,0,0.541864534,0.0,2,1
51,0,8.089789175789319,0,1,0.339159767,0.018372703,0,0
54,1,9.259225769705994,19,2,0.479382916,0.721056575,3,0
38,0,8.805075243870684,7,0,0.24625075,0.563142965,0,0
42,0,8.987321812850125,6,0,0.045244344,0.073262551,0,0
54,0,9.90353755128617,8,2,0.294672852,0.052402589,0,0
78,0,7.7025561132685825,19,1,0.257000903,0.094131239,0,0
59,0,8.594339400592892,0,0,0.006295131,0.02228529,0,0
68,0,6.957497370876951,2,1,1.320647003,0.923460899,1,0
62,1,8.594339400592892,11,1,0.141094782,0.204399958,0,1
44,0,8.94910546953925,3,0,0.1272561999999999,0.9999999,0,0
51,4,9.137877200242468,6,1,0.186216536,0.389457002,0,0
69,1,8.294299608857235,9,1,0.284428893,0.0,0,0
33,0,7.823645930834952,7,1,0.779911965,0.82852292,1,0
69,2,8.79497643168877,13,1,0.294803818,0.110760828,0,0
34,0,8.38958706681109,7,1,0.3899113839999999,0.1212273069999999,0,0
62,0,8.594339400592892,7,1,0.402408544,0.5366064079999999,0,0
50,4,9.659056522078663,14,1,0.157377259,0.0402503789999999,0,0
84,1,7.643961949002529,2,0,0.015804598,0.027749306,0,0
50,2,9.002824076547672,12,1,0.362293872,0.176499646,1,0
40,0,8.922791623969637,5,2,0.226503133,0.000117644,0,0
54,2,9.01881660441743,8,1,0.08731985,0.021079975,0,0
32,2,8.699681400989514,7,2,0.358106982,0.141259885,0,0
39,2,9.61587214452889,15,2,0.2848476769999999,0.951850088,0,0
55,1,8.85609105525229,10,1,0.294672852,0.31609355,2,0
33,1,8.740496729931813,0,2,0.419132939,0.548060497,0,0
35,0,9.04793908261736,12,4,0.535466416,0.275662291,0,0
32,0,8.648396877031582,6,1,0.4155411329999999,0.086243659,1,0
53,0,8.70267641154777,10,1,0.294672852,0.66492535,0,0
40,1,8.575650760987806,11,0,0.241652518,0.176499646,0,0
48,2,9.53249633228804,13,6,1.152090428,0.078897861,3,1
57,1,8.160803920954665,11,1,0.48129106,0.330644716,0,0
41,1,8.71292443512011,5,2,0.346324618,0.153753958,0,0
33,2,8.366602832783736,6,0,0.146477563,0.176499646,0,0
50,1,8.02322468471667,7,2,1.15798099,0.8732169040000001,0,0
33,0,8.630700432209832,4,1,0.430101768,0.49188299,0,0
44,0,10.106469212026385,1,0,0.004573272,0.763215786,0,0
44,0,8.240121298076472,9,0,0.338522427,0.176499646,0,0
47,3,9.0280988119824,20,1,0.285577154,0.674349125,5,0
50,0,8.976767625171433,2,0,0.0025262089999999,0.9999999,0,0
29,0,8.006700845440367,7,0,0.21092969,0.922781111,4,0
55,1,8.334951631422454,9,2,0.445404368,0.367954342,0,0
37,2,8.334951631422454,6,1,0.401007919,0.0144825589999999,0,0
59,0,8.50045386741194,17,0,0.759406142,0.311867893,0,0
45,3,8.371242135931933,12,1,0.9701458,0.79654389,1,0
37,2,8.341648618901306,6,1,0.465315852,0.177870291,0,0
62,0,9.433563920090563,0,2,0.393968483,0.06148754,0,0
58,0,7.681099001536359,10,0,0.14397785,0.01631382,1,0
34,2,8.594339400592892,5,0,0.086637787,0.470781141,0,0
41,0,8.922791623969637,0,1,0.147180376,1.024973078,0,0
53,2,8.24301946898925,6,0,0.173638516,0.040648896,0,0
61,0,9.268703615273097,0,2,0.253372323,0.006691742,0,0
54,1,8.131824785007195,6,1,0.467803587,0.689517997,0,0
49,0,9.121509158269568,6,2,0.126557377,0.018167008,0,0
56,1,8.962007209588313,9,2,0.264325087,0.176499646,0,0
69,1,8.594339400592892,5,0,0.472806607,0.041492976,0,0
73,0,8.434028950155469,9,2,0.2327754839999999,0.038721222,0,0
71,0,8.740496729931813,10,1,0.181890897,0.056982859,1,0
29,0,8.071218539969863,12,2,0.325835676,0.168427771,0,0
33,2,8.64241515616962,5,2,0.403917417,0.0,1,0
60,0,9.309280319831087,7,2,0.313949275,0.0,0,0
30,0,8.594339400592892,0,0,0.7176826629999999,0.0,1,0
21,0,7.888709524182015,2,0,0.007874016,0.364317841,0,0
53,0,7.972810784121404,8,3,0.505687694,0.827200631,0,0
44,0,9.364519622823858,7,2,0.569126596,0.036284243,0,0
64,1,8.594339400592892,7,0,0.141672763,0.115499349,0,0
54,1,8.517393171418904,0,0,0.016196761,0.176499646,0,0
35,1,8.503297086224126,0,1,0.3650375179999999,0.97960204,2,0
58,1,9.105090961257085,13,0,0.160759916,0.4058431389999999,3,0
66,0,8.83869681234353,13,1,0.327726218,0.056882398,2,0
39,0,7.937731775260109,7,1,0.582649054,0.0919314119999999,0,0
44,2,8.594339400592892,12,2,0.315680596,0.014671248,1,0
42,3,8.188966863648876,5,0,0.205498473,0.528930762,0,0
29,0,8.888894669371593,0,3,0.451110192,0.9999999,0,0
52,0,8.665785595466064,5,0,0.126012756,0.156131705,0,0
65,0,8.594339400592892,10,2,0.353938445,0.592508176,0,0
51,3,9.071193240566025,19,2,0.6670497639999999,0.093985298,0,0
26,0,6.90875477931522,4,0,0.228771229,0.01591166,0,0
31,0,8.03947991910045,7,2,0.565623992,0.900915903,1,1
25,0,8.071218539969863,6,0,0.4333020929999999,0.176499646,0,1
44,0,9.290444616217844,0,1,0.160236293,0.116165055,0,0
52,0,8.667163717992533,4,1,0.446548459,0.129123818,0,0
51,6,9.882468185312053,32,2,0.306576797,0.24495896,0,0
41,2,8.393216011596527,7,1,0.379895857,0.078576502,0,0
51,0,8.90571557879409,4,0,0.296446976,0.6002544679999999,4,0
63,0,7.763446388727362,0,0,0.041648959,0.053863929,0,0
62,0,9.259225769705994,22,2,0.238072565,0.089919583,1,0
31,2,7.847762537473608,1,0,0.0328125,0.260814651,0,0
51,1,9.04793908261736,16,2,0.3466650979999999,0.004288762,0,0
71,0,8.101980731853192,9,1,0.204786428,0.061403974,0,0
60,2,9.672563813902956,0,2,0.1800831439999999,0.077134674,0,0
51,0,9.327056171672144,3,0,0.002046628,0.01549969,0,0
54,0,9.174298600628918,23,3,0.563549658,0.8485977370000001,3,1
59,0,7.824445930877619,6,0,0.383446621,0.2372073639999999,0,0
57,1,9.736074312475292,18,3,0.452739847,0.392601596,0,0
42,2,9.329011901693681,0,2,0.230195382,0.234399181,0,0
51,0,7.741099090035366,4,0,0.294672852,0.79241517,0,0
51,0,9.10320049641828,22,1,0.255676759,0.030960339,1,0
36,0,8.434028950155469,5,1,0.394696805,0.041127706,0,0
46,1,8.229777750081887,11,2,0.578778992,0.012627396,1,0
27,1,8.537191877922927,12,4,0.637326015,0.0,0,1
77,0,8.006700845440367,0,1,0.294672852,0.011798121,0,0
50,2,8.594339400592892,0,1,0.728263104,0.863641256,0,0
42,4,9.259225769705994,16,3,0.565565184,0.23981594,0,0
57,0,9.789646736112369,10,5,0.699518153,0.414550196,0,0
27,1,7.978310969867722,9,2,0.877613987,0.766747607,0,0
55,0,8.198089248956116,10,2,0.424600991,0.011952392,0,0
40,1,9.76042516969429,6,1,0.151840314,0.045909077,0,0
26,0,9.025335217553026,5,0,0.156659848,0.295283328,0,0
64,0,8.699681400989514,4,0,0.110648225,0.02818631,0,0
38,3,7.59890045687141,0,0,0.22995992,0.0,0,0
75,0,8.111928063310739,5,0,0.0044991,0.023905865,0,0
61,1,8.839421607620602,5,0,0.06274453,0.4139270879999999,1,0
51,2,8.735042754269337,9,1,0.518578092,1.0501010240000002,3,0
48,0,8.10711747075039,4,1,0.4852320679999999,0.91372661,0,0
71,0,9.156517565278676,12,3,0.321443647,0.217894588,0,0
56,2,9.726213236963687,13,2,0.201838696,0.401239167,0,0
66,0,8.992433087457218,6,2,0.3586172589999999,0.7730408990000001,0,0
75,1,8.81001204797317,5,0,0.058797194,0.153916073,0,0
47,1,8.366602832783736,5,0,0.286445013,0.9999999,1,0
77,0,6.2166061010848646,13,0,0.294672852,0.0,0,0
44,3,8.612685172875459,4,2,0.891656063,0.004120713,0,0
63,0,8.160803920954665,7,0,0.020851185,0.121093945,0,0
56,0,8.12058871174027,3,1,0.3660422239999999,0.08959552,0,0
47,1,8.517393171418904,5,1,0.288542292,0.0,0,0
29,2,8.284251797621916,14,2,0.6917445090000001,0.938428875,0,0
30,2,8.294299608857235,10,0,0.417895526,0.944919534,1,0
59,2,9.20170317858052,5,1,0.16996167,0.016789032,0,0
67,0,8.612685172875459,9,0,0.154699146,0.007791688,1,0
40,2,8.95686647085414,11,3,0.468625177,0.097108424,0,0
51,1,9.293117798433752,12,2,0.582527847,0.593229738,0,0
51,0,8.294299608857235,12,1,0.658085479,0.616661447,0,0
55,0,8.77971129020447,7,0,0.17366559,0.918204837,0,0
60,2,8.594339400592892,7,2,0.29504715,0.035770446,0,0
48,0,8.517393171418904,4,0,0.019796041,0.056293464,0,0
65,0,8.621733370690162,9,1,0.538101243,0.002482181,0,0
62,0,9.230044955250518,16,3,0.525345622,0.160785713,0,0
47,1,7.937731775260109,10,0,0.438057836,0.018161051,0,0
60,1,9.305286849285137,0,4,0.344670789,0.218744212,0,0
51,4,8.865593998902725,16,1,0.4312535289999999,0.931098227,3,1
57,2,9.469005495357472,5,3,0.71487029,1.035464302,13,1
30,0,8.594339400592892,1,0,0.134073185,0.9999999,1,0
51,1,9.65509029374725,19,2,0.130183963,0.017577217,0,0
58,0,9.0280988119824,16,0,0.004799616,0.0138679789999999,0,0
77,0,8.987321812850125,4,0,0.294672852,0.176499646,0,0
37,2,9.063463176115423,7,2,0.441278666,0.105978326,0,0
49,0,9.09627541568821,14,2,0.441380856,0.290004789,1,0
45,1,8.594339400592892,13,5,0.689105918,0.925097073,0,0
43,1,9.944341546544393,8,5,0.4298742439999999,0.196853543,0,0
55,0,8.748463629942055,0,1,0.320266624,0.339197782,0,0
53,3,9.248983995568388,10,3,0.6091976139999999,0.006316561,1,0
49,0,8.911529941736559,4,2,0.27410004,0.0402192429999999,0,0
34,1,8.268988209506656,6,1,0.540374263,0.176499646,0,0
56,1,8.853808274977197,5,1,0.142408227,0.019998824,0,0
44,0,9.433563920090563,13,1,0.237021038,0.204535496,1,0
43,1,9.150271845510064,17,5,0.584262504,0.064822908,0,0
57,0,8.742254901886351,0,3,0.487064836,0.592837948,0,0
70,0,7.901377353792616,10,1,0.266197705,0.639006626,1,1
27,0,8.679312040892672,6,0,0.143197279,0.320780348,0,0
42,2,7.824445930877619,2,1,0.432626949,0.9999999,0,0
60,3,8.881975184248867,19,1,0.380641578,0.014624315,0,0
51,2,8.97903863296051,0,2,0.220289855,0.6291975670000001,1,0
67,0,7.824445930877619,4,0,0.292682927,0.176499646,0,0
49,2,8.529319371214077,9,5,0.294672852,0.817471139,5,1
40,3,8.160803920954665,4,0,0.294672852,0.088666016,0,0
41,5,8.887652690325586,12,1,0.769400718,0.641076414,0,0
66,0,8.110727582974489,9,0,0.464564565,0.53439132,1,0
61,0,8.594339400592892,7,1,0.609701907,0.007758821,0,0
29,1,8.493924564476883,6,0,0.158239509,0.9999999,7,0
38,4,8.594339400592892,13,2,1.5,0.335083246,0,0
74,0,9.399637542506563,22,0,0.073982125,0.151942111,0,0
30,0,8.21851757748959,5,0,0.277163656,0.9999999,0,0
62,0,8.594339400592892,12,1,0.134253749,0.021889948,0,0
79,0,8.517393171418904,0,2,0.105578884,0.028169014,0,0
40,0,8.594339400592892,4,1,0.290387894,0.975530131,0,0
51,0,8.73985662749357,5,1,0.309588603,0.9999999,0,0
59,0,8.987321812850125,12,1,0.139107612,0.0,0,0
48,0,8.517393171418904,0,1,0.4491101779999999,0.057174228,0,0
36,0,6.90875477931522,7,1,1.5,0.0681183259999999,0,0
68,1,9.259225769705994,15,3,0.294672852,0.0014267,0,0
67,0,8.716207971151853,18,1,0.5099164070000001,0.818167614,0,0
36,2,8.404696160189092,8,0,0.087063563,0.100578449,0,0
40,3,9.004176840696656,0,3,0.319650977,0.458918944,1,0
51,0,8.32117830749028,0,0,0.160827251,0.96410359,0,0
31,1,7.8709295967551425,5,0,0.108396947,0.9999999,0,0
45,0,8.648396877031582,8,2,0.535344676,0.503874156,0,0
67,0,8.612685172875459,12,2,0.3748409379999999,0.038256862,0,0
60,0,8.699681400989514,8,2,0.989835027,0.568694877,0,0
51,2,7.650168700845001,18,2,1.5,0.928592687,1,0
64,0,9.240869577011006,7,3,0.364694471,0.9999999,0,0
68,0,8.136518252115291,7,0,0.0997951419999999,0.176499646,0,0
76,0,9.259225769705994,11,1,0.011522712,0.014549131,0,0
52,0,7.972810784121404,7,1,0.591520165,0.0,1,1
60,0,6.803505257608338,9,4,1.5,0.2293256889999999,0,0
38,2,7.920446505142607,7,1,0.7973120229999999,0.979336089,1,1
51,3,9.794899612119229,20,2,0.344220265,0.538063435,0,0
46,0,9.29807648628027,21,3,0.431803609,0.168854146,0,0
46,2,8.763428073953845,7,1,0.2295184489999999,0.176499646,0,0
37,0,8.678631537293768,7,2,0.524676651,0.249320581,0,0
51,2,9.373309200254322,6,1,0.456839422,0.0,0,0
38,0,8.517393171418904,0,0,0.160167966,0.781217597,2,0
56,1,9.39607277189222,12,1,0.268831492,0.1994781169999999,0,0
54,0,8.111928063310739,1,0,0.0089982,0.516241879,0,0
65,0,7.943427767876373,6,0,0.77600284,0.176499646,0,0
39,0,9.933094897288786,16,3,0.518664143,0.52846398,0,0
69,0,8.594339400592892,4,0,0.047000195,0.007999714,0,0
44,2,8.81001204797317,21,1,0.269512013,0.006744314,0,0
59,3,8.35983738064003,8,0,0.40332397,0.585298929,3,0
26,0,8.594339400592892,4,0,1.5,0.319889693,0,0
62,0,8.229777750081887,2,0,0.2617968539999999,0.9999999,0,0
53,0,8.67265729404031,9,3,0.919191919,0.171437173,0,0
36,1,7.496097345175956,3,1,0.611882288,0.5473869570000001,0,0
44,2,8.160803920954665,9,1,0.606398172,0.240830275,1,0
69,0,9.090317329376452,10,1,0.187394295,0.0222469639999999,0,0
27,1,9.290444616217844,10,0,0.094332656,0.265952582,0,0
59,0,9.095714846134879,19,2,0.506224066,0.648600184,0,0
30,0,8.558527054909215,4,0,0.185185185,0.599700025,0,0
47,0,8.351374706721296,14,2,0.390698772,0.0,0,0
36,0,8.517193191416238,14,1,0.294672852,0.26804623,0,0
48,2,9.07726601775084,7,1,0.225496916,0.0,0,0
31,1,8.575650760987806,1,0,0.294672852,0.24215157,0,0
54,0,9.296609807128359,22,1,0.46986515,0.07084421,1,0
38,2,8.25608813381491,0,0,0.032978447,0.9999999,0,0
64,0,8.27614021955846,15,0,0.294672852,0.8827448370000001,0,0
46,2,8.839421607620602,7,1,0.55919432,0.2328306869999999,0,0
45,0,7.601402334583733,11,1,1.3228385809999998,0.352363869,2,0
51,0,8.853808274977197,4,0,0.22196829,0.3586632839999999,0,0
37,0,8.699681400989514,7,1,0.37793701,0.0,0,0
51,1,8.448271745949816,11,1,0.4602528389999999,0.074737841,1,0
56,0,8.870382066070137,4,2,0.262292779,0.835970025,0,0
51,0,7.62608275807238,3,0,0.306192101,0.9999999,0,1
42,0,8.517393171418904,17,2,0.4539092179999999,0.505695275,0,0
50,2,8.895766604056085,13,2,0.364196685,0.354396964,3,0
69,0,8.334951631422454,5,1,0.309335253,0.125962468,0,0
48,3,9.360396968182862,8,2,0.294672852,0.818444541,0,0
60,0,9.125653563808989,9,2,0.294672852,0.095761898,0,0
31,0,8.020270472819238,10,2,1.084812623,0.176499646,0,1
34,0,8.58185670474196,6,1,0.510686164,0.592001702,3,1
57,0,8.594339400592892,5,0,0.294672852,0.176499646,0,0
73,0,9.04793908261736,7,1,0.112222092,0.009788443,1,0
58,0,8.325063693631197,11,1,0.285264178,0.0,0,0
77,0,8.594339400592892,3,0,1.5,0.062398217,0,0
48,3,8.824824939175638,12,0,0.5766799,0.977012706,0,0
52,0,8.612685172875459,5,1,0.460643519,0.7492877490000001,2,1
32,1,8.633374945705647,4,0,0.121794872,0.9999999,2,0
74,0,8.24301946898925,12,0,0.19836885,0.177474066,0,0
86,0,8.423102268016642,8,0,0.00681169,0.062433598,0,0
45,1,8.708144074908246,7,0,0.259914078,0.570053743,2,0
49,0,8.556798446008598,8,2,0.5899653979999999,0.057165155,0,0
24,0,8.594339400592892,0,0,1.5,0.9999999,4,1
56,1,7.91644286012226,3,0,0.266593727,0.9999999,0,0
44,0,8.334951631422454,2,0,0.012718982,0.065015818,0,0
34,1,9.140454244512016,12,2,0.339088472,0.590264318,0,0
62,1,8.824824939175638,9,1,0.294672852,0.0,0,0
41,2,8.594339400592892,13,2,1.5,0.03766583,2,0
69,0,8.24301946898925,10,1,0.535122336,0.044096946,0,0
53,2,9.149634496858788,15,2,0.274997344,0.025462249,0,0
46,0,8.627660644442209,7,2,0.294672852,0.04093794,0,0
42,2,8.594339400592892,8,2,0.319862425,0.964826952,1,0
50,2,9.210440366976517,4,1,0.1581841819999999,0.097445128,1,0
53,0,10.106469212026385,8,0,1.5,0.07106487,0,0
27,1,8.665785595466064,5,2,0.2437510769999999,0.0,0,0
58,0,8.630700432209832,5,2,0.294672852,0.176499646,1,0
83,1,9.61587214452889,17,1,0.089194054,0.001151233,0,0
31,1,7.696667081526462,0,0,0.056792367,0.9999999,1,0
32,2,8.689632748355741,6,0,0.12960781,0.213289846,0,0
27,0,8.151044945685024,0,0,0.055956158,0.6715547409999999,0,0
60,0,8.11522197256233,9,1,0.315994021,0.031416272,0,0
43,0,8.721765357145012,5,2,0.5838630810000001,0.9999999,0,0
24,0,7.313886831633462,6,0,0.0,0.0,0,0
59,2,7.696667081526462,6,1,0.6310767829999999,0.196227967,0,0
51,2,8.430327258394575,12,2,0.430410122,0.010223118,0,0
32,3,7.955074273262696,8,0,0.140701754,0.162682858,0,0
77,0,8.594339400592892,3,1,0.179793019,0.071354292,0,0
46,0,8.974744612722734,11,0,0.258195165,0.176499646,0,0
44,1,8.160803920954665,4,0,0.177663525,0.503449655,0,0
44,4,8.987196820661973,5,1,1.449,1.046476762,5,0
61,0,9.305741456739435,16,0,0.122807018,0.280553502,0,0
52,0,8.997642078523512,12,1,0.456704602,0.176499646,0,0
64,0,8.386856689688234,11,2,0.537935748,0.392036893,1,0
51,0,7.824445930877619,5,1,0.321071571,0.9999999,2,0
36,0,8.594339400592892,10,2,0.399141631,0.661219224,0,0
48,4,9.407222080101468,0,2,0.275377792,0.887164635,2,0
44,0,8.740496729931813,5,1,0.2513197889999999,0.049502275,0,0
67,0,8.006700845440367,6,0,0.0,0.176499646,0,0
58,0,8.31996102188653,13,2,0.982947625,0.1542345769999999,1,0
51,0,9.102755161296246,7,2,0.1731625839999999,0.269826909,0,0
51,0,7.8636512654486515,9,0,0.477124183,0.986401404,0,1
89,0,8.389132521348719,17,0,0.017503978,0.041223611,0,1
33,0,9.259225769705994,13,0,0.004951909,0.018410333,0,0
61,0,9.458605712064172,8,3,0.306210017,0.305438811,0,0
53,0,9.252633284166434,5,1,0.166219325,0.176499646,0,0
71,0,8.594339400592892,3,0,0.178601166,0.043924299,0,0
30,1,8.374246182096304,13,1,0.294672852,0.314871396,4,0
63,1,8.764209507142004,4,0,0.0,0.0,0,0
33,0,8.430545384690566,5,1,0.507088332,0.68707483,0,0
49,0,8.502688505213357,6,1,0.31351461,0.613409415,2,1
51,1,8.182279739259018,13,0,0.294672852,0.176499646,0,0
66,1,7.313886831633462,1,0,0.0,0.176499646,0,0
49,1,8.853808274977197,11,3,0.391658335,0.4931042999999999,0,0
51,0,8.24117615049496,0,0,0.000790722,0.003087813,0,0
51,1,7.559038255443384,11,3,1.5,0.0,0,0
65,0,7.062191632286556,6,0,0.358183376,0.0,0,0
51,1,7.143617602704121,0,0,0.224328594,0.2313537289999999,0,0
51,0,9.61587214452889,11,2,1.5,0.8109571190000001,0,0
43,0,8.987321812850125,10,2,0.327959005,0.087066321,0,0
61,0,10.082344782138865,0,2,0.264456245,0.735783902,0,0
41,2,8.521384396034705,6,1,0.478988249,0.934602616,0,0
53,3,8.476579508530941,3,0,0.007706728,0.243615591,0,1
51,2,9.89515291574607,16,2,0.25794091,0.32149323,0,0
53,0,7.970049304976135,16,0,0.767715175,0.902245147,3,0
51,1,8.594339400592892,8,1,0.191437142,0.032396397,0,0
54,0,8.853808274977197,2,1,0.180688473,0.234395086,0,0
47,3,9.643226075660339,18,2,0.509956541,0.085314045,0,0
60,0,6.035481432524756,2,1,1.5,0.499750025,0,0
56,0,7.783640596221253,8,0,0.009579342,0.0163219769999999,0,0
55,0,8.594339400592892,5,1,0.294672852,0.08504163,0,0
73,0,7.344072850573066,0,1,0.634130575,0.019195262,0,0
55,1,6.354370040797351,1,0,0.713043478,0.9999999,0,0
56,1,8.594339400592892,16,0,0.154943048,0.102813806,1,0
51,0,8.627660644442209,12,0,0.531876791,0.137996124,0,0
43,0,9.210440366976517,13,4,0.629237076,0.290919318,0,0
67,0,6.2166061010848646,4,0,0.007984032,0.0,0,0
58,1,8.936035096566041,4,1,0.210235495,0.176499646,0,0
30,2,6.90875477931522,4,0,0.0,0.0,0,0
51,0,8.294299608857235,4,0,0.002499375,0.008135396,0,0
50,1,8.537191877922927,20,0,0.785728289,0.176499646,0,0
42,2,8.554488976159934,19,1,0.573410405,0.658045827,0,0
49,0,8.97727273946428,12,1,0.332533771,0.87091222,0,0
50,0,8.853808274977197,9,1,0.294672852,0.1025316209999999,1,0
51,0,9.259225769705994,2,0,0.001142748,0.010099748,0,0
72,0,9.069813136839207,9,0,0.103233974,0.04585237,0,0
51,0,8.777092882855566,16,2,1.051202961,1.136972685,0,0
62,1,8.520985989654934,9,2,0.540545925,0.086618373,0,0
32,2,8.397508348470257,0,1,0.293958521,0.9999999,0,0
60,0,8.902183446335016,12,0,0.362547632,0.313622358,0,0
38,0,8.3774712482411,8,0,0.078426863,0.912919343,0,0
48,1,8.17413934342947,8,1,0.400789177,0.909942042,4,0
44,1,7.0825485693553,1,0,0.1889168769999999,0.9999999,0,0
54,3,9.55867059537935,21,6,0.866732547,0.702381432,0,1
48,1,8.307705966549513,8,1,0.726017263,0.6885290059999999,2,0
33,1,7.650168700845001,9,0,0.439314612,0.295796756,0,0
46,0,8.594339400592892,0,5,0.643,0.12724513,0,0
51,0,8.594339400592892,0,1,1.5,0.176499646,0,0
33,2,8.517393171418904,4,0,0.2359528089999999,0.9999999,4,0
27,0,8.594339400592892,1,0,0.001052355,0.317365269,0,0
